Name,Year,Salaries,Rank
Tim Thomas,2000,,172
Michael Finley,2000,,173
Shawn Bradley,2000,,174
Danny Manning,2000,,175
Avery Johnson,2000,,176
Glen Rice,2000,,177
Kendall Gill,2000,,178
Christian Laettner,2000,,179
Horace Grant,2000,,180
Toni Kukoc,2000,,181
Bryant Stith,2000,,182
Charles Oakley,2000,,183
PJ Brown,2000,,184
Chris Gatling,2000,,185
Anthony Mason,2000,,186
Ron Mercer,2000,,187
Antonio Davis,2000,,188
Kelvin Cato,2000,,189
Austin Croshere,2000,,190
Sean Elliott,2000,,191
Hersey Hawkins,2000,,192
Chris Mullin,2000,,193
Bobby Phills,2000,,194
Tariq Abdul-Wahad,2000,,195
Bo Outlaw,2000,,196
Robert Pack,2000,,197
Brevin Knight,2000,,198
Howard Eisley,2000,,199
Dan Majerle,2000,,200
Brad Miller,2000,,201
Ben Wallace,2000,,202
Duane Causwell,2000,,203
Danny Fortson,2000,,204
Corliss Williamson,2000,,205
Cedric Ceballos,2000,,206
Jahidi White,2000,,207
Cuttino Mobley,2000,,208
Rashard Lewis,2000,,209
Scot Pollard,2000,,210
Voshon Lenard,2000,,211
Nick Anderson,2000,,212
Dana Barros,2000,,213
Doug West,2000,,214
Kurt Thomas,2000,,215
Adonal Foyle,2000,,216
Mark Jackson,2000,,217
Kenyon Martin,2000,,218
Rex Chapman,2000,,219
Greg Anthony,2000,,220
Adam Keefe,2000,,221
Lamond Murray,2000,,222
Jud Buechler,2000,,223
Greg Minor,2000,,224
Tony Battie,2000,,225
Don MacLean,2000,,226
Stromile Swift,2000,,227
Doug Christie,2000,,228
Mark Bryant,2000,,229
Chucky Atkins,2000,,230
Samaki Walker,2000,,231
Jerome Williams,2000,,232
Kevin Willis,2000,,233
Mikki Moore,2000,,234
Darius Miles,2000,,235
Antonio Daniels,2000,,236
Popeye Jones,2000,,237
Jon Barry,2000,,238
Cedric Henderson,2000,,239
Vernon Maxwell,2000,,240
Marcus Fizer,2000,,241
Erick Strickland,2000,,242
Dragan Tarlac,2000,,243
Matt Maloney,2000,,244
Gary Trent,2000,,245
Terry Mills,2000,,246
Mark Strickland,2000,,247
Sam Mitchell,2000,,248
Chris Whitney,2000,,249
Jim Jackson,2000,,250
Mike Miller,2000,,251
Dale Ellis,2000,,252
Randy Brown,2000,,253
Aaron Williams,2000,,254
Bimbo Coles,2000,,255
Joe Smith,2000,,256
Maurice Taylor,2000,,257
Sam Perkins,2000,,258
Brian Shaw,2000,,259
A.C. Green,2000,,260
Chauncey Billups,2000,,261
Tony Delk,2000,,262
Will Perdue,2000,,263
Bobby Jackson,2000,,264
Derek Anderson,2000,,265
John Starks,2000,,266
Otis Thorpe,2000,,267
J.R. Reid,2000,,268
Calbert Cheaney,2000,,269
George McCloud,2000,,270
John Wallace,2000,,271
Michael Curry,2000,,272
Terry Cummings,2000,,273
Carlos Rogers,2000,,274
Shandon Anderson,2000,,275
Eric Piatkowski,2000,,276
Ron Harper,2000,,277
Grant Long,2000,,278
George Lynch,2000,,279
Detlef Schrempf,2000,,280
Olden Polynice,2000,,281
Michael Smith,2000,,282
Cory Alexander,2000,,283
DerMarr Johnson,2000,,284
John Williams,2000,,285
Clarence Weatherspoon,2000,,286
Hubert Davis,2000,,287
Billy Owens,2000,,288
Eric Murdock,2000,,289
Matt Bullard,2000,,290
Cherokee Parks,2000,,291
Alvin Williams,2000,,292
Johnny Newman,2000,,293
Chris Mihm,2000,,294
Keith Closs,2000,,295
Andrew DeClercq,2000,,296
James Robinson,2000,,297
Aaron McKie,2000,,298
Jamal Crawford,2000,,299
Jaren Jackson,2000,,300
Lorenzo Williams,2000,,301
Muggsy Bogues,2000,,302
Darvin Ham,2000,,303
Joel Przybilla,2000,,304
Keyon Dooling,2000,,305
Jacque Vaughn,2000,,306
Predrag Stojakovic,2000,,307
Jerome Moiso,2000,,308
Michael Doleac,2000,,309
Etan Thomas,2000,,310
Tony Massenburg,2000,,311
Corie Blount,2000,,312
Courtney Alexander,2000,,313
Gary Grant,2000,,314
William Avery,2000,,315
Mateen Cleaves,2000,,316
Anthony Johnson,2000,,317
Chris Carr,2000,,318
Joe Kleine,2000,,319
Zan Tabak,2000,,320
Chuck Person,2000,,321
Anthony Carter,2000,,322
LaPhonso Ellis,2000,,323
Danny Ferry,2000,,324
Dennis Scott,2000,,325
Jason Collier,2000,,326
Bryce Drew,2000,,327
Elliot Perry,2000,,328
Hidayet Turkoglu,2000,,329
Tom Hammonds,2000,,330
Radoslav Nesterovic,2000,,331
Jelani McCoy,2000,,332
Sherman Douglas,2000,,333
Greg Buckner,2000,,334
Desmond Mason,2000,,335
Mirsad Turkcan,2000,,336
Bill Curley,2000,,337
Quentin Richardson,2000,,338
Kevin Edwards,2000,,339
Jerome Kersey,2000,,340
Felton Spencer,2000,,341
David Wingate,2000,,342
Pervis Ellison,2000,,343
Dee Brown,2000,,344
Monty Williams,2000,,345
Mario Elie,2000,,346
Tyrone Corbin,2000,,347
Bruno Sundov,2000,,348
Ruben Patterson,2000,,349
Jamaal Magloire,2000,,350
Speedy Claxton,2000,,351
Terry Davis,2000,,352
Stacey Augmon,2000,,353
Morris Peterson,2000,,354
Fred Hoiberg,2000,,355
Tyronn Lue,2000,,356
Donnell Harvey,2000,,357
Felipe Lopez,2000,,358
DeShawn Stevenson,2000,,359
John Crotty,2000,,360
Mahmoud Abdul-Rauf,2000,,361
Dalibor Bagaric,2000,,362
Sam Jacobson,2000,,363
Iakovos Tsakalidis,2000,,364
Corey Benjamin,2000,,365
Vladimir Stepania,2000,,366
Nazr Mohammed,2000,,367
Mamadou N'diaye,2000,,368
Isaiah Rider,2000,,369
Todd Day,2000,,370
David Benoit,2000,,371
Bruce Bowen,2000,,372
Erick Barkley,2000,,373
Damon Jones,2000,,374
Mark Madsen,2000,,375
Reggie Slater,2000,,376
Darrick Martin,2000,,377
Larry Robinson,2000,,378
Todd Fuller,2000,,379
Don Reid,2000,,380
Antonio Harvey,2000,,381
Emanual Davis,2000,,382
Eddie Robinson,2000,,383
