Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
16T;Mike Bibby;23;SAC;0;1;1260;1;80;33.2;13.7;2.8;5;1.1;0.2;453;0.37;803;6.3;113;2002
16T;Elton Brand;22;LAC;0;1;1260;1;80;37.8;18.2;11.6;2.4;1;2;527;0;742;13.6;216;2002
16T;Peja Stojakovi?;24;SAC;0;1;1260;1;71;37.3;21.2;5.3;2.5;1.1;0.2;484;416;876;9.9;179;2002
1;Tim Duncan;26;SAS;60;962;1190;808;81;39.3;23.3;12.9;3.9;0.7;2.9;513;273;0.71;16.5;248;2003
2;Kevin Garnett;26;MIN;43;871;1190;732;82;40.5;23;13.4;6;1.4;1.6;502;282;751;15.6;225;2003
3;Kobe Bryant;24;LAL;8;496;1190;417;82;41.5;30;6.9;5.9;2.2;0.8;451;383;843;14.9;0.21;2003
4;Tracy McGrady;23;ORL;4;427;1190;359;75;39.4;32.1;6.5;5.5;1.7;0.8;457;386;793;16.1;262;2003
5;Shaquille O'Neal;30;LAL;3;126;1190;106;67;37.8;27.5;11.1;3.1;0.6;2.4;574;0;622;13.2;0.25;2003
6;Allen Iverson;27;PHI;0;83;1190;0.07;82;42.5;27.6;4.2;5.5;2.7;0.2;414;277;774;9.2;127;2003
7;Dirk Nowitzki;24;DAL;0;43;1190;36;80;39;25.1;9.9;3;1.4;1;463;379;881;16.1;249;2003
8;Ben Wallace;28;DET;1;33;1190;28;73;39.4;6.9;15.4;1.6;1.4;3.2;481;167;0.45;10.6;176;2003
9;Jason Kidd;29;NJN;0;31;1190;26;80;37.4;18.7;6.3;8.9;2.2;0.3;414;341;841;11.3;182;2003
10;Chris Webber;29;SAC;0;19;1190;16;67;39.1;23;10.5;5.4;1.6;1.3;461;238;607;6.9;127;2003
11T;Jamal Mashburn;30;NOH;0;1;1190;1;82;40.5;21.6;6.1;5.6;1;0.2;422;389;848;9;0.13;2003
11T;Steve Nash;28;DAL;0;1;1190;1;82;33.1;17.7;2.9;7.3;1;0.1;465;413;909;11.6;206;2003
11T;Paul Pierce;25;BOS;0;1;1190;1;79;39.2;25.9;7.3;4.4;1.8;0.8;416;302;802;10.1;157;2003
1;Kevin Garnett;27;MIN;120;1219;1230;991;82;39.4;24.2;13.9;5;1.5;2.2;499;256;791;18.3;272;2004
2;Tim Duncan;27;SAS;0;716;1230;582;69;36.6;22.3;12.4;3.1;0.9;2.7;501;167;599;13.1;249;2004
3;Jermaine O'Neal;25;IND;2;523;1230;425;78;35.7;20.1;10;2.1;0.8;2.6;434;111;757;9;155;2004
4;Peja Stojakovi?;26;SAC;1;281;1230;228;81;40.3;24.2;6.3;2.1;1.3;0.2;0.48;433;927;13.5;198;2004
5;Kobe Bryant;25;LAL;0;212;1230;172;65;37.6;24;5.5;5.1;1.7;0.4;438;327;852;10.7;0.21;2004
6;Shaquille O'Neal;31;LAL;0;178;1230;145;67;36.8;21.5;11.5;2.9;0.5;2.5;584;0;0.49;9.9;192;2004
7;Ben Wallace;29;DET;0;24;1230;0.02;81;37.7;9.5;12.4;1.7;1.8;3;421;125;0.49;10.2;0.16;2004
8;Jason Kidd;30;NJN;0;17;1230;14;67;36.6;15.5;6.4;9.2;1.8;0.2;384;321;827;7.2;141;2004
9;LeBron James;19;CLE;0;11;1230;9;79;39.5;20.9;5.5;5.9;1.6;0.7;417;0.29;754;5.1;78;2004
10T;Sam Cassell;34;MIN;0;4;1230;3;81;35;19.8;3.3;7.3;1.3;0.2;488;398;873;12.1;205;2004
10T;Baron Davis;24;NOH;0;4;1230;3;67;40.1;22.9;4.3;7.5;2.4;0.4;395;321;673;7.5;133;2004
10T;Dirk Nowitzki;25;DAL;0;4;1230;3;77;37.9;21.8;8.7;2.7;1.2;1.4;462;341;877;11.5;0.19;2004
13;Andrei Kirilenko;22;UTA;0;2;1230;2;78;37.1;16.5;8.1;3.1;1.9;2.8;443;338;0.79;11.6;192;2004
14T;Carmelo Anthony;19;DEN;0;1;1230;1;82;36.5;21;6.1;2.8;1.2;0.5;426;322;777;6.1;98;2004
14T;Yao Ming;23;HOU;0;1;1230;1;82;32.8;17.5;9;1.5;0.3;1.9;522;0;809;11.4;202;2004
14T;Michael Redd;24;MIL;0;1;1230;1;82;36.8;21.7;5;2.3;1;0.1;0.44;0.35;868;9.7;154;2004
1;Steve Nash;30;PHO;65;1066;1270;839;75;34.3;15.5;3.3;11.5;1;0.1;502;431;887;10.9;203;2005
2;Shaquille O'Neal;32;MIA;58;1032;1270;813;73;34.1;22.9;10.4;2.7;0.5;2.3;601;0;461;11;211;2005
3;Dirk Nowitzki;26;DAL;0;349;1270;275;78;38.7;26.1;9.7;3.1;1.2;1.5;459;399;869;15.6;248;2005
4;Tim Duncan;28;SAS;1;328;1270;258;66;33.4;20.3;11.1;2.7;0.7;2.6;496;333;0.67;11.2;245;2005
5;Allen Iverson;29;PHI;2;240;1270;189;75;42.3;30.7;4;7.9;2.4;0.1;424;308;835;9;136;2005
6;LeBron James;20;CLE;0;93;1270;73;80;42.4;27.2;7.4;7.2;2.2;0.7;472;351;0.75;14.3;203;2005
7;Tracy McGrady;25;HOU;0;44;1270;35;78;40.8;25.7;6.2;5.7;1.7;0.7;431;326;774;12;0.18;2005
8;Dwyane Wade;23;MIA;0;43;1270;34;77;38.6;24.1;5.2;6.8;1.6;1.1;478;289;762;11;177;2005
9T;Amar'e Stoudemire;22;PHO;1;41;1270;32;80;36.1;26;8.9;1.6;1;1.6;559;188;733;14.6;243;2005
9T;Ray Allen;29;SEA;0;41;1270;32;78;39.3;23.9;4.4;3.7;1.1;0.1;428;376;883;10.7;168;2005
11;Kevin Garnett;28;MIN;0;15;1270;12;82;38.1;22.2;13.5;5.7;1.5;1.4;502;0.24;811;16.1;248;2005
12;Gilbert Arenas;23;WAS;0;4;1270;3;80;40.9;25.5;4.7;5.1;1.7;0.3;431;365;814;11.5;169;2005
13;Vince Carter;28;TOT;0;3;1270;2;77;36.7;24.5;5.2;4.2;1.4;0.6;452;406;798;9.4;159;2005
14T;P.J. Brown;35;NOH;0;1;1270;1;82;34.4;10.8;9;2.2;0.9;0.6;446;0;864;6.9;118;2005
14T;Marcus Camby;30;DEN;0;1;1270;1;66;30.5;10.3;10;2.3;0.9;3;465;0;723;5.8;138;2005
14T;Shawn Marion;26;PHO;0;1;1270;1;81;38.8;19.4;11.3;1.9;2;1.5;476;334;833;12.5;191;2005
1;Steve Nash;31;PHO;57;924;1250;739;79;35.4;18.8;4.2;10.5;0.8;0.2;512;439;921;12.4;212;2006
2;LeBron James;21;CLE;16;688;1250;0.55;79;42.5;31.4;7;6.6;1.6;0.8;0.48;335;738;16.3;232;2006
3;Dirk Nowitzki;27;DAL;14;544;1250;435;81;38.1;26.6;9;2.8;0.7;1;0.48;406;901;17.7;275;2006
4;Kobe Bryant;27;LAL;22;483;1250;386;80;41;35.4;5.3;4.5;1.8;0.4;0.45;347;0.85;15.3;224;2006
5;Chauncey Billups;29;DET;15;430;1250;344;81;36.1;18.5;3.1;8.6;0.9;0.1;418;433;894;15.5;254;2006
6;Dwyane Wade;24;MIA;0;87;1250;0.07;75;38.6;27.2;5.7;6.7;1.9;0.8;495;171;783;14.4;239;2006
7;Elton Brand;26;LAC;1;50;1250;0.04;79;39.2;24.7;10;2.6;1;2.5;527;333;775;14.8;229;2006
8;Tim Duncan;29;SAS;0;33;1250;26;80;34.8;18.6;11;3.2;0.9;2;484;0.4;629;10.8;187;2006
9;Tony Parker;23;SAS;0;9;1250;7;80;33.9;18.9;3.3;5.8;1;0.1;548;306;707;9.6;169;2006
10T;Allen Iverson;30;PHI;0;1;1250;1;72;43.1;33;3.2;7.4;1.9;0.1;447;323;814;10.6;165;2006
10T;Shawn Marion;27;PHO;0;1;1250;1;81;40.3;21.8;11.8;1.8;2;1.7;525;331;809;14.6;214;2006
1;Dirk Nowitzki;28;DAL;83;1138;1290;882;78;36.2;24.6;8.9;3.4;0.7;0.8;502;416;904;16.3;278;2007
2;Steve Nash;32;PHO;44;1013;1290;785;76;35.3;18.6;3.5;11.6;0.8;0.1;532;455;899;12.6;225;2007
3;Kobe Bryant;28;LAL;2;521;1290;404;77;40.8;31.6;5.7;5.4;1.4;0.5;463;344;868;13;199;2007
4;Tim Duncan;30;SAS;0;286;1290;222;80;34.1;20;10.6;3.4;0.8;2.4;546;111;637;13;0.23;2007
5;LeBron James;22;CLE;0;183;1290;142;78;40.9;27.3;6.7;6;1.6;0.7;476;319;698;13.7;206;2007
6;Tracy McGrady;27;HOU;0;110;1290;85;71;35.8;24.6;5.3;6.5;1.3;0.5;431;331;707;8.6;163;2007
7;Chris Bosh;22;TOR;0;43;1290;33;69;38.5;22.6;10.7;2.5;0.6;1.3;496;343;785;9.6;174;2007
8;Gilbert Arenas;25;WAS;0;31;1290;24;74;39.8;28.4;4.6;6;1.9;0.2;418;351;844;10.8;177;2007
9T;Carlos Boozer;25;UTA;0;7;1290;5;74;34.6;20.9;11.7;3;0.9;0.3;561;0;685;9.9;185;2007
9T;Kevin Garnett;30;MIN;0;7;1290;5;76;39.4;22.4;12.8;4.1;1.2;1.7;476;214;835;10.7;171;2007
11;Chauncey Billups;30;DET;0;4;1290;3;70;36.2;17;3.4;7.2;1.2;0.2;427;345;883;11.4;216;2007
12T;Shaquille O'Neal;34;MIA;0;3;1290;2;40;28.4;17.3;7.4;2;0.2;1.4;591;0;422;2.8;119;2007
12T;Dwyane Wade;25;MIA;0;3;1290;2;51;37.9;27.4;4.7;7.5;2.1;1.2;491;266;807;8.8;219;2007
14;Amar'e Stoudemire;24;PHO;0;2;1290;2;82;32.8;20.4;9.6;1;1;1.3;575;0;781;11.2;201;2007
15T;Carmelo Anthony;22;DEN;0;1;1290;1;65;38.2;28.9;6;3.8;1.2;0.4;476;268;808;7.3;0.14;2007
15T;Baron Davis;27;GSW;0;1;1290;1;63;35.3;20.1;4.4;8.1;2.1;0.5;439;304;745;6.4;139;2007
15T;Tony Parker;24;SAS;0;1;1290;1;77;32.5;18.6;3.2;5.5;1.1;0.1;0.52;395;783;9.6;185;2007
1;Kobe Bryant;29;LAL;82;1100;1260;873;82;38.9;28.3;6.3;5.4;1.8;0.5;459;361;0.84;13.8;208;2008
2;Chris Paul;22;NOH;28;894;1260;0.71;80;37.6;21.1;4;11.6;2.7;0.1;488;369;851;17.8;284;2008
3;Kevin Garnett;31;BOS;15;670;1260;532;71;32.8;18.8;9.2;3.4;1.4;1.3;539;0;801;12.9;265;2008
4;LeBron James;23;CLE;1;438;1260;348;75;40.4;30;7.9;7.2;1.8;1.1;484;315;712;15.2;242;2008
5;Dwight Howard;22;ORL;0;60;1260;48;82;37.7;20.7;14.2;1.3;0.9;2.1;599;0;0.59;12.9;0.2;2008
6;Amar'e Stoudemire;25;PHO;0;27;1260;21;79;33.9;25.2;9.1;1.5;0.8;2.1;0.59;161;805;14.6;262;2008
7;Tim Duncan;31;SAS;0;25;1260;0.02;78;34;19.3;11.3;2.8;0.7;1.9;497;0;0.73;11.1;201;2008
8;Tracy McGrady;28;HOU;0;19;1260;15;66;37;21.6;5.1;5.9;1;0.5;419;292;684;5.8;115;2008
9;Steve Nash;33;PHO;0;18;1260;14;81;34.3;16.9;3.5;11.1;0.7;0.1;504;0.47;906;10.5;181;2008
10;Manu Ginóbili;30;SAS;0;9;1260;7;74;31.1;19.5;4.8;4.5;1.5;0.4;0.46;401;0.86;11.1;232;2008
11;Dirk Nowitzki;29;DAL;0;5;1260;4;77;36;23.6;8.6;3.5;0.7;0.9;479;359;879;12.9;223;2008
12;Deron Williams;23;UTA;0;4;1260;3;82;37.3;18.8;3;10.5;1.1;0.3;507;395;803;11.3;177;2008
13;Carmelo Anthony;23;DEN;0;3;1260;2;77;36.4;25.7;7.4;3.4;1.3;0.5;492;354;786;8.2;0.14;2008
14T;Carlos Boozer;26;UTA;0;1;1260;1;81;34.9;21.1;10.4;2.9;1.2;0.5;547;0;738;10.2;173;2008
14T;Antawn Jamison;31;WAS;0;1;1260;1;79;38.7;21.4;10.2;1.5;1.3;0.4;436;339;0.76;9.2;144;2008
14T;Paul Pierce;30;BOS;0;1;1260;1;80;35.9;19.6;5.1;4.5;1.3;0.5;464;392;843;12.4;207;2008
14T;Rasheed Wallace;33;DET;0;1;1260;1;77;30.5;12.7;6.6;1.8;1.2;1.7;432;356;767;7.6;155;2008
1;LeBron James;24;CLE;109;1172;1210;969;81;37.7;28.4;7.6;7.2;1.7;1.1;489;344;0.78;20.3;318;2009
2;Kobe Bryant;30;LAL;2;698;1210;577;82;36.1;26.8;5.2;4.9;1.5;0.5;467;351;856;12.7;206;2009
3;Dwyane Wade;27;MIA;7;680;1210;562;79;38.6;30.2;5;7.5;2.2;1.3;491;317;765;14.7;232;2009
4;Dwight Howard;23;ORL;1;328;1210;271;79;35.7;20.6;13.8;1.4;1;2.9;572;0;594;13.8;234;2009
5;Chris Paul;23;NOH;2;192;1210;159;78;38.5;22.8;5.5;11;2.8;0.1;503;364;868;18.3;292;2009
6;Chauncey Billups;32;TOT;0;33;1210;27;79;35.3;17.7;3;6.4;1.2;0.2;418;408;913;10.1;174;2009
7;Paul Pierce;31;BOS;0;21;1210;17;81;37.5;20.5;5.6;3.6;1;0.3;457;391;0.83;10.3;164;2009
8;Tony Parker;26;SAS;0;9;1210;7;72;34.1;22;3.1;6.9;0.9;0.1;506;292;782;8.6;168;2009
9;Brandon Roy;24;POR;0;7;1210;6;78;37.2;22.6;4.7;5.1;1.1;0.3;0.48;377;824;13.5;223;2009
10;Dirk Nowitzki;30;DAL;0;3;1210;2;81;37.7;25.9;8.4;2.4;0.8;0.8;479;359;0.89;10.9;171;2009
11;Tim Duncan;32;SAS;0;2;1210;2;75;33.7;19.3;10.7;3.5;0.5;1.7;504;0;692;10.1;191;2009
12;Yao Ming;28;HOU;0;1;1210;1;77;33.6;19.7;9.9;1.8;0.4;1.9;548;1;866;10.6;196;2009
1;LeBron James;25;CLE;116;1205;1230;0.98;76;39;29.7;7.3;8.6;1.6;1;503;333;767;18.5;299;2010
2;Kevin Durant;21;OKC;4;609;1230;495;82;39.5;30.1;7.6;2.8;1.4;1;476;365;0.9;16.1;238;2010
3;Kobe Bryant;31;LAL;0;599;1230;487;73;38.8;27;5.4;5;1.5;0.3;456;329;811;9.4;0.16;2010
4;Dwight Howard;24;ORL;3;478;1230;389;82;34.7;18.3;13.2;1.8;0.9;2.8;612;0;592;13.2;223;2010
5;Dwyane Wade;28;MIA;0;119;1230;97;77;36.3;26.6;4.8;6.5;1.8;1.1;476;0.3;761;13;224;2010
6;Carmelo Anthony;25;DEN;0;65;1230;53;69;38.2;28.2;6.6;3.2;1.3;0.4;458;316;0.83;7.9;145;2010
7;Dirk Nowitzki;31;DAL;0;55;1230;45;81;37.5;25;7.7;2.7;0.9;1;481;421;915;12.3;194;2010
8;Steve Nash;35;PHO;0;49;1230;0.04;81;32.8;16.5;3.3;11;0.5;0.1;507;426;938;9.9;178;2010
9;Deron Williams;25;UTA;0;7;1230;6;76;36.9;18.7;4;10.5;1.3;0.2;469;371;801;10.3;177;2010
10;Amar'e Stoudemire;27;PHO;0;5;1230;4;82;34.6;23.1;8.9;1;0.6;1;557;167;771;10.7;181;2010
11;Manu Ginóbili;32;SAS;0;3;1230;2;75;28.7;16.5;3.8;4.9;1.4;0.3;441;377;0.87;9.7;216;2010
12T;Chauncey Billups;33;DEN;0;1;1230;1;73;34.1;19.5;3.1;5.6;1.1;0.1;418;386;0.91;9.5;182;2010
12T;Chris Bosh;25;TOR;0;1;1230;1;70;36.1;24;10.8;2.4;0.6;1;518;364;797;9.6;182;2010
12T;Stephen Jackson;31;TOT;0;1;1230;1;81;38.6;20.6;5;3.7;1.6;0.5;423;328;779;5;77;2010
12T;Joe Johnson;28;ATL;0;1;1230;1;76;38;21.3;4.6;4.9;1.1;0.1;458;369;818;8.4;0.14;2010
1;Derrick Rose;22;CHI;113;1182;1210;977;81;37.4;25;4.1;7.7;1;0.6;445;332;858;13.1;208;2011
2;Dwight Howard;25;ORL;3;643;1210;531;78;37.6;22.9;14.1;1.4;1.4;2.4;593;0;596;14.4;235;2011
3;LeBron James;26;MIA;4;522;1210;431;79;38.8;26.7;7.5;7;1.6;0.6;0.51;0.33;759;15.6;244;2011
4;Kobe Bryant;32;LAL;1;428;1210;354;82;33.9;25.3;5.1;4.7;1.2;0.1;451;323;828;10.3;178;2011
5;Kevin Durant;22;OKC;0;190;1210;157;78;38.9;27.7;6.8;2.7;1.1;1;462;0.35;0.88;12;189;2011
6;Dirk Nowitzki;32;DAL;0;113;1210;93;73;34.3;23;7;2.6;0.5;0.6;517;393;892;11.1;213;2011
7;Dwyane Wade;29;MIA;0;24;1210;0.02;76;37.1;25.5;6.4;4.6;1.5;1.1;0.5;306;758;12.8;218;2011
8;Manu Ginóbili;33;SAS;0;20;1210;17;80;30.3;17.4;3.7;4.9;1.5;0.4;433;349;871;9.9;195;2011
9;Amar'e Stoudemire;28;NYK;0;9;1210;7;78;36.8;25.3;8.2;2.6;0.9;1.9;502;435;792;8;134;2011
10T;Blake Griffin;21;LAC;0;5;1210;4;82;38;22.5;12.1;3.8;0.8;0.5;506;292;642;9.8;152;2011
10T;Rajon Rondo;24;BOS;0;5;1210;4;68;37.2;10.6;4.4;11.2;2.3;0.2;475;233;568;6.6;126;2011
12;Tony Parker;28;SAS;0;3;1210;2;78;32.4;17.5;3.1;6.6;1.2;0;519;357;769;8.2;156;2011
13;Chris Paul;25;NOH;0;2;1210;2;80;36;15.9;4.1;9.8;2.4;0.1;463;388;878;13.9;232;2011
1;LeBron James;27;MIA;85;1074;1210;888;62;37.5;27.1;7.9;6.2;1.9;0.8;531;362;771;14.5;298;2012
2;Kevin Durant;23;OKC;24;889;1210;735;66;38.6;28;8;3.5;1.3;1.2;496;387;0.86;12.2;0.23;2012
3;Chris Paul;26;LAC;6;385;1210;318;60;36.4;19.8;3.6;9.1;2.5;0.1;478;371;861;12.7;278;2012
4;Kobe Bryant;33;LAL;2;352;1210;291;58;38.5;27.9;5.4;4.6;1.2;0.3;0.43;303;845;6.2;132;2012
5;Tony Parker;29;SAS;4;331;1210;274;60;32.1;18.3;2.9;7.7;1;0.1;0.48;0.23;799;7.1;177;2012
6;Kevin Love;23;MIN;0;58;1210;48;55;39;26;13.3;2;0.9;0.5;448;372;824;10;223;2012
7;Dwight Howard;26;ORL;0;13;1210;11;54;38.3;20.6;14.5;1.9;1.5;2.1;573;0;491;7.7;179;2012
8;Rajon Rondo;25;BOS;0;12;1210;0.01;53;36.9;11.9;4.8;11.7;1.8;0.1;448;238;597;4.9;121;2012
9;Steve Nash;37;PHO;0;7;1210;6;62;31.6;12.5;3;10.7;0.6;0.1;532;0.39;894;5.9;144;2012
10;Dwyane Wade;30;MIA;0;6;1210;5;49;33.2;22.1;4.8;4.6;1.7;1.3;497;268;791;7.7;227;2012
11;Derrick Rose;23;CHI;0;5;1210;4;39;35.3;21.8;3.4;7.9;0.9;0.7;435;312;812;6;211;2012
12T;Dirk Nowitzki;33;DAL;0;4;1210;3;62;33.5;21.6;6.7;2.2;0.7;0.5;457;368;896;7.6;175;2012
12T;Russell Westbrook;23;OKC;0;4;1210;3;66;35.3;23.6;4.6;5.5;1.7;0.3;457;316;823;7.9;163;2012
14;Tim Duncan;35;SAS;0;3;1210;2;58;28.2;15.4;9;2.3;0.7;1.5;492;0;695;5.9;174;2012
15;Joe Johnson;30;ATL;0;1;1210;1;60;35.5;18.8;3.7;3.9;0.8;0.2;454;388;849;6.4;145;2012
1;LeBron James;28;MIA;120;1207;1210;998;76;37.9;26.8;8;7.3;1.7;0.9;565;406;753;19.3;322;2013
2;Kevin Durant;24;OKC;0;765;1210;632;81;38.5;28.1;7.9;4.6;1.4;1.3;0.51;416;905;18.9;291;2013
3;Carmelo Anthony;28;NYK;1;475;1210;393;67;37;28.7;6.9;2.6;0.8;0.5;449;379;0.83;9.5;184;2013
4;Chris Paul;27;LAC;0;289;1210;239;70;33.4;16.9;3.7;9.7;2.4;0.1;481;328;885;13.9;287;2013
5;Kobe Bryant;34;LAL;0;184;1210;152;78;38.6;27.3;5.6;6;1.4;0.3;463;324;839;10.9;174;2013
6;Tony Parker;30;SAS;0;86;1210;71;66;32.9;20.3;3;7.6;0.8;0.1;522;353;845;9.3;206;2013
7;Tim Duncan;36;SAS;0;65;1210;54;69;30.1;17.8;9.9;2.7;0.7;2.7;502;286;817;8.3;191;2013
8;James Harden;23;HOU;0;33;1210;27;78;38.3;25.9;4.9;5.8;1.8;0.5;438;368;851;12.8;206;2013
9;Russell Westbrook;24;OKC;0;9;1210;7;82;34.9;23.2;5.2;7.4;1.8;0.3;438;323;0.8;11.6;195;2013
10;Dwyane Wade;31;MIA;0;5;1210;4;69;34.7;21.2;5;5.1;1.9;0.8;521;258;725;9.6;192;2013
11;Stephen Curry;24;GSW;0;3;1210;2;78;38.2;22.9;4;6.9;1.6;0.2;451;453;0.9;11.2;0.18;2013
12T;Kevin Garnett;36;BOS;0;1;1210;1;68;29.7;14.8;7.8;2.3;1.1;0.9;496;125;786;5.6;133;2013
12T;Marc Gasol;28;MEM;0;1;1210;1;80;35;14.1;7.8;4;1;1.7;494;71;848;11.5;197;2013
12T;Ty Lawson;25;DEN;0;1;1210;1;73;34.4;16.7;2.7;6.9;1.5;0.1;461;366;756;7.4;141;2013
12T;David Lee;29;GSW;0;1;1210;1;79;36.8;18.5;11.2;3.5;0.8;0.3;519;0;797;9.1;0.15;2013
12T;Joakim Noah;27;CHI;0;1;1210;1;66;36.8;11.9;11.1;4;1.2;2.1;481;0;751;7.3;145;2013
1;Kevin Durant;25;OKC;119;1232;1250;986;81;38.5;32;7.4;5.5;1.3;0.7;503;391;873;19.2;295;2014
2;LeBron James;29;MIA;6;891;1250;713;77;37.7;27.1;6.9;6.3;1.6;0.3;567;379;0.75;15.9;264;2014
3;Blake Griffin;24;LAC;0;434;1250;347;80;35.8;24.1;9.5;3.9;1.2;0.6;528;273;715;12.2;205;2014
4;Joakim Noah;28;CHI;0;322;1250;258;80;35.3;12.6;11.3;5.4;1.2;1.5;475;0;737;11.2;0.19;2014
5;James Harden;24;HOU;0;85;1250;68;73;38;25.4;4.7;6.1;1.6;0.4;456;366;866;12.8;221;2014
6;Stephen Curry;25;GSW;0;66;1250;53;78;36.5;24;4.3;8.5;1.6;0.2;471;424;885;13.4;225;2014
7;Chris Paul;28;LAC;0;45;1250;36;62;35;19.1;4.3;10.7;2.5;0.1;467;368;855;12.2;0.27;2014
8;Al Jefferson;29;CHA;0;34;1250;27;73;35;21.8;10.8;2.1;0.9;1.1;509;0.2;0.69;7.8;146;2014
9;Paul George;23;IND;0;33;1250;26;80;36.2;21.7;6.8;3.5;1.9;0.3;424;364;864;10.8;178;2014
10;LaMarcus Aldridge;28;POR;0;26;1250;21;69;36.2;23.2;11.1;2.6;0.9;1;458;0.2;822;7.5;144;2014
11;Kevin Love;25;MIN;0;25;1250;0.02;77;36.3;26.1;12.5;4.4;0.8;0.5;457;376;821;14.3;245;2014
12T;Tim Duncan;37;SAS;0;21;1250;17;74;29.2;15.1;9.7;3;0.6;1.9;0.49;0;731;7.4;164;2014
12T;Tony Parker;31;SAS;0;21;1250;17;68;29.4;16.7;2.3;5.7;0.5;0.1;499;373;811;5.9;141;2014
14;Dirk Nowitzki;35;DAL;0;7;1250;6;80;32.9;21.7;6.2;2.7;0.9;0.6;497;398;899;10.9;199;2014
15;Carmelo Anthony;29;NYK;0;4;1250;3;77;38.7;27.4;8.1;3.1;1.2;0.7;452;402;848;10.7;172;2014
16;Goran Dragi?;27;PHO;0;3;1250;2;76;35.1;20.3;3.2;5.9;1.4;0.3;505;408;0.76;10.3;186;2014
17;Mike Conley;26;MEM;0;1;1250;1;73;33.5;17.2;2.9;6;1.5;0.2;0.45;361;815;8.2;161;2014
1;Stephen Curry;26;GSW;100;1198;1300;922;80;32.7;23.8;4.3;7.7;2;0.2;487;443;914;15.7;288;2015
2;James Harden;25;HOU;25;936;1300;0.72;81;36.8;27.4;5.7;7;1.9;0.7;0.44;375;868;16.4;265;2015
3;LeBron James;30;CLE;5;552;1300;425;69;36.1;25.3;6;7.4;1.6;0.7;488;354;0.71;10.4;199;2015
4;Russell Westbrook;26;OKC;0;352;1300;271;67;34.4;28.1;7.3;8.6;2.1;0.2;426;299;835;10.6;222;2015
5;Anthony Davis;21;NOP;0;203;1300;156;68;36.1;24.4;10.2;2.2;1.5;2.9;535;83;805;14;274;2015
6;Chris Paul;29;LAC;0;124;1300;95;82;34.8;19.1;4.6;10.2;1.9;0.2;485;398;0.9;16.1;0.27;2015
7;LaMarcus Aldridge;29;POR;0;6;1300;5;71;35.4;23.4;10.2;1.7;0.7;1;466;352;845;8.6;165;2015
8T;Marc Gasol;30;MEM;0;3;1300;2;81;33.2;17.4;7.8;3.8;0.9;1.6;494;176;795;10.2;182;2015
8T;Blake Griffin;25;LAC;0;3;1300;2;67;35.2;21.9;7.6;5.3;0.9;0.5;502;0.4;728;9;183;2015
10T;Tim Duncan;38;SAS;0;1;1300;1;77;28.9;13.9;9.1;3;0.8;2;512;286;0.74;9.6;207;2015
10T;Kawhi Leonard;23;SAS;0;1;1300;1;64;31.8;16.5;7.2;2.5;2.3;0.8;479;349;802;8.6;204;2015
10T;Klay Thompson;24;GSW;0;1;1300;1;77;31.9;21.7;3.2;2.9;1.1;0.8;463;439;879;8.8;172;2015
1;Stephen Curry;27;GSW;131;1310;1310;1;79;34.2;30.1;5.4;6.7;2.1;0.2;504;454;908;17.9;318;2016
2;Kawhi Leonard;24;SAS;0;634;1310;484;72;33.1;21.2;6.8;2.6;1.8;1;506;443;874;13.7;277;2016
3;LeBron James;31;CLE;0;631;1310;482;76;35.6;25.3;7.4;6.8;1.4;0.6;0.52;309;731;13.6;242;2016
4;Russell Westbrook;27;OKC;0;486;1310;371;80;34.4;23.5;7.8;10.4;2;0.3;454;296;812;14;245;2016
5;Kevin Durant;27;OKC;0;147;1310;112;72;35.8;28.2;8.2;5;1;1.2;505;387;898;14.5;0.27;2016
6;Chris Paul;30;LAC;0;107;1310;82;74;32.7;19.5;4.2;10;2.1;0.2;462;371;896;12.7;253;2016
7;Draymond Green;25;GSW;0;50;1310;38;81;34.7;14;9.5;7.4;1.5;1.4;0.49;388;696;11.1;0.19;2016
8;Damian Lillard;25;POR;0;26;1310;0.02;75;35.7;25.1;4;6.8;0.9;0.4;419;375;892;9.2;165;2016
9;James Harden;26;HOU;0;9;1310;7;82;38.1;29;6.1;7.5;1.7;0.6;439;359;0.86;13.3;204;2016
10;Kyle Lowry;29;TOR;0;6;1310;5;77;37;21.2;4.7;6.4;2.1;0.4;427;388;811;11.6;196;2016
1;Russell Westbrook;28;OKC;69;888;1010;879;81;34.6;31.6;10.7;10.4;1.6;0.4;425;343;845;13.1;224;2017
2;James Harden;27;HOU;22;753;1010;746;81;36.4;29.1;8.1;11.2;1.5;0.5;0.44;347;847;15;245;2017
3;Kawhi Leonard;25;SAS;9;500;1010;495;74;33.4;25.5;5.8;3.5;1.8;0.7;485;0.38;0.88;13.6;264;2017
4;LeBron James;32;CLE;1;333;1010;0.33;74;37.8;26.4;8.6;8.7;1.2;0.6;548;363;674;12.9;221;2017
5;Isaiah Thomas;27;BOS;0;81;1010;0.08;76;33.8;28.9;2.7;5.9;0.9;0.2;463;379;909;12.5;234;2017
6;Stephen Curry;28;GSW;0;52;1010;51;79;33.4;25.3;4.5;6.6;1.8;0.2;468;411;898;12.6;229;2017
7T;Giannis Antetokounmpo;22;MIL;0;7;1010;7;80;35.6;22.9;8.8;5.4;1.6;1.9;521;272;0.77;12.4;0.21;2017
